category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Little Red Riding Hood,75,64,31,2,0,52,59,0,173,0,37,60,17,50,44,7,0,12,0,52,0,26,13,43,0,76,0,6,1,78,30,92,28,8,28,34,49,11,66,108,11,0,26,24,0,0,0,0,17,168,0,74,1,94,0,23,2,132,13,16,17,3,116,99,0,41,31,42,0,77,15,2,5,101,52,81,27,64,67,6,3,38,32,172
Loki,23,10,5,2,0,1,1,0,14,0,0,3,78,7,13,0,0,1,0,5,0,62,9,1,0,6,2,39,4,36,1,2,0,3,5,0,32,10,6,3,2,0,0,12,0,1,7,17,0,2,0,35,8,16,0,1,2,19,4,99,3,7,3,3,0,1,3,0,2,33,5,1,0,29,0,23,5,8,38,3,3,1,30,28
Luke Cage,179,75,36,26,0,70,63,0,100,0,67,50,4,25,19,4,0,4,0,24,0,1,24,9,0,94,0,30,0,136,27,85,16,32,43,74,120,5,182,67,57,0,60,26,0,0,0,168,2,0,0,90,0,166,0,7,1,119,4,0,5,0,20,19,0,25,124,11,1,41,7,5,1,122,115,33,16,28,69,19,5,16,10,146
Martian Invader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medusa,97,43,17,0,0,29,18,0,192,0,41,50,42,10,37,2,0,2,0,22,0,20,29,5,0,82,0,61,0,143,6,58,15,33,16,43,159,2,139,23,18,0,4,34,0,1,0,74,35,90,0,0,0,38,0,2,1,183,2,40,38,1,27,78,0,3,80,71,0,76,0,0,0,100,58,30,6,24,57,10,0,87,38,297
Michelangelo,0,7,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,10,0,0,0,1,6,0,23,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,23,18,1,8,0,0,0,0,0,0,0,6,9,0,0,0,34,0,0,0,0,0,0,19,0,2,0,2,0,1,7,0,7,11,0,0,0,1,0
Moon Knight,100,81,9,1,0,47,49,0,151,0,17,37,13,37,34,1,0,1,0,37,0,18,11,3,0,37,9,24,1,60,38,27,11,8,47,36,61,23,69,85,2,0,28,12,0,1,1,94,16,166,0,38,0,0,0,14,0,33,2,11,8,0,76,29,0,40,76,15,1,67,12,2,0,42,96,44,27,52,77,0,1,52,21,80
Mothman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
Ms. Marvel,6,24,1,0,0,9,7,0,7,0,17,9,1,11,24,3,0,6,0,23,0,1,1,36,0,5,4,3,0,8,11,16,5,1,3,9,12,19,3,3,13,0,26,11,0,0,0,23,1,7,0,2,0,14,0,0,1,13,9,4,1,1,23,16,0,20,10,3,0,16,12,3,15,2,2,10,7,3,9,0,2,6,2,13
Muhammad Ali,0,1,0,0,0,2,0,0,1,0,0,0,0,0,8,1,0,0,0,1,0,3,2,1,0,0,0,0,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,7,11,2,2,1,0,1,6,0,0,1,0,2,0,2,1,17,0,0,0,1,0,0,9,0,1,0,0,0,0,3,2,1,5,1,0,2,0,1
