category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Martian Invader,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,33,-2,-2,57,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Medusa,16,26,47,-2,-2,31,11,-2,34,-2,22,42,64,20,32,0,-2,0,-2,45,-2,35,31,20,-2,51,-2,51,-2,49,0,41,60,39,25,49,67,50,24,17,11,-2,0,9,-2,100,-2,28,31,37,-2,-2,-2,13,-2,0,100,51,100,18,26,100,22,41,-2,33,49,48,-2,30,-2,-2,-2,29,55,27,50,21,26,60,-2,54,61,59
Michelangelo,-2,86,100,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,70,-2,-2,-2,100,50,-2,86,-2,-2,-2,-2,100,-2,-2,-2,33,-2,-2,-2,-2,-2,-2,-2,80,25,0,0,-2,-2,-2,-2,-2,-2,-2,80,43,-2,-2,-2,55,-2,-2,-2,-2,-2,-2,53,-2,50,-2,50,-2,100,100,-2,100,50,-2,-2,-2,100,-2
Moon Knight,58,45,63,100,-2,64,35,-2,52,-2,35,27,77,19,35,0,-2,100,-2,27,-2,44,55,0,-2,38,22,42,100,73,55,33,73,100,47,17,70,30,58,53,50,-2,29,17,-2,100,100,37,56,50,-2,87,-2,-2,-2,43,-2,42,100,36,50,-2,63,31,-2,48,45,80,100,39,8,50,-2,90,57,30,22,40,60,-2,0,23,76,74
Mothman,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,44,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,62,-2,-2,-2,-2,-2,-2
Ms. Marvel,100,71,0,-2,-2,78,29,-2,86,-2,35,78,0,64,67,0,-2,67,-2,30,-2,0,0,58,-2,40,0,67,-2,50,82,69,80,100,67,44,50,37,100,67,8,-2,42,82,-2,-2,-2,78,100,86,-2,100,-2,57,-2,-2,0,54,78,25,100,0,65,38,-2,58,60,33,-2,63,75,67,60,100,50,30,43,0,67,-2,0,67,50,77
Muhammad Ali,-2,0,-2,-2,-2,50,-2,-2,100,-2,-2,-2,-2,-2,50,0,-2,-2,-2,100,-2,67,50,0,-2,-2,-2,-2,60,-2,-2,100,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,80,73,50,0,100,-2,0,20,-2,-2,100,-2,100,-2,50,0,88,-2,-2,-2,0,-2,-2,75,-2,100,-2,-2,-2,-2,100,50,100,100,100,-2,0,-2,100
Nikola Tesla,58,36,24,67,-2,43,0,-2,68,-2,34,26,38,25,68,-2,-2,0,-2,27,-2,25,68,35,-2,19,-2,32,67,42,13,13,50,56,30,14,53,67,74,8,0,-2,50,0,-2,50,67,57,56,76,-2,49,57,58,-2,46,0,-2,60,67,44,69,67,24,-2,32,54,80,83,56,100,100,-2,42,64,31,47,51,57,67,0,27,56,41
Oda Nobunaga,77,50,0,33,-2,100,80,-2,100,-2,33,60,100,44,100,50,-2,71,-2,50,-2,100,100,100,-2,60,11,100,-2,50,100,89,-2,-2,0,0,100,14,60,-2,53,-2,37,80,-2,-2,-2,62,25,50,-2,0,-2,0,-2,22,-2,40,-2,67,-2,-2,21,65,-2,100,100,100,-2,100,52,0,50,100,0,35,67,80,48,-2,0,67,100,100
Pandora,63,36,50,100,-2,100,-2,-2,83,-2,0,33,65,64,33,-2,-2,-2,-2,50,-2,47,60,0,-2,100,-2,75,-2,57,-2,40,100,67,100,-2,33,0,50,0,100,-2,100,47,-2,0,100,44,44,-2,-2,83,-2,64,-2,75,50,33,33,-2,0,100,27,0,-2,-2,100,100,-2,33,-2,50,-2,50,50,73,0,50,42,57,-2,-2,36,53
Philippa,63,71,44,63,-2,80,-2,-2,100,-2,50,100,0,44,58,-2,-2,0,-2,33,-2,0,74,0,-2,46,50,0,100,100,38,56,100,69,62,-2,80,0,73,71,0,-2,50,-2,-2,-2,-2,71,100,80,-2,74,-2,50,-2,0,100,56,-2,100,-2,-2,82,20,-2,78,50,100,-2,57,33,-2,100,67,100,59,56,29,49,54,0,0,58,66
Raphael,100,50,-2,-2,-2,-2,0,-2,100,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,50,50,-2,-2,50,-2,-2,30,-2,-2,-2,-2,100,-2,-2,0,-2,-2,100,-2,-2,-2,-2,-2,35,22,0,20,-2,-2,0,45,-2,-2,100,12,31,-2,0,-2,-2,-2,-2,-2,-2,0,-2,44,0,-2,-2,-2,-2,-2,71,-2,0,25,-2,-2,0,100,-2
Raptors,62,38,36,25,-2,30,15,-2,74,-2,19,51,40,20,57,40,-2,69,-2,45,-2,67,38,50,-2,20,67,100,-2,39,38,48,95,100,29,45,41,27,67,57,13,-2,29,25,-2,-2,0,26,67,60,-2,78,-2,37,-2,35,-2,33,79,73,18,-2,-2,65,-2,36,30,39,-2,71,20,25,0,71,76,63,31,32,37,40,50,15,40,56
Robin Hood,58,53,50,13,-2,81,51,-2,70,-2,84,56,60,59,49,41,-2,61,-2,51,-2,50,67,62,-2,44,33,88,0,84,63,52,79,59,60,100,63,36,38,56,37,-2,16,36,-2,-2,50,61,67,84,-2,59,-2,69,-2,63,-2,76,35,100,80,-2,35,-2,-2,52,56,82,-2,57,57,29,50,52,96,59,37,47,52,50,33,58,50,78
Robin Hood - Alt 1.0,-2,-2,-2,-2,50,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2
Shakespeare,76,41,20,50,-2,63,53,-2,62,-2,43,55,50,50,50,100,-2,100,-2,33,-2,100,100,47,-2,61,0,50,-2,83,0,88,67,25,68,0,88,65,44,50,100,-2,0,50,-2,-2,0,51,100,88,-2,67,-2,53,-2,42,100,68,0,-2,22,-2,64,48,-2,-2,75,50,-2,31,75,-2,-2,100,76,55,59,55,67,33,0,0,0,100
She-Hulk,55,56,63,-2,-2,40,33,-2,54,-2,22,22,-2,25,33,-2,-2,-2,-2,33,-2,0,25,-2,-2,43,0,57,-2,44,0,20,56,71,50,8,78,0,29,43,67,-2,50,0,-2,-2,-2,26,67,48,-2,51,-2,55,-2,40,-2,46,0,0,50,100,70,44,-2,25,-2,64,50,44,40,-2,100,49,46,20,25,40,73,-2,-2,32,43,38
Sherlock Holmes,27,38,67,33,-2,28,21,-2,23,-2,18,32,50,0,20,0,-2,33,-2,37,-2,0,0,50,-2,0,50,38,-2,80,36,31,35,0,0,11,62,0,63,21,0,-2,25,0,-2,-2,-2,29,-2,18,-2,52,-2,20,-2,67,-2,20,0,0,0,-2,61,18,-2,50,36,-2,-2,43,-2,0,-2,45,57,45,67,61,35,-2,-2,17,50,55
Shredder,-2,40,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,40,100,-2,-2,-2,-2,-2,45,-2,-2,100,-2,100,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,42,92,-2,100,0,-2,-2,47,0,-2,-2,25,17,-2,-2,-2,56,-2,-2,-2,-2,50,-2,-2,0,-2,-2,-2,-2,-2,33,0,50,0,-2,-2,-2,-2,-2
